query_label,query,role,activity_id,title,category,es_score_(1+cos)/2,approx_cosine
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,1,AI 与大模型技术前沿讲座,academic,0.851021,0.702041
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,2,校园羽毛球友谊赛,sports,0.941282,0.882565
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,3,摄影社户外采风活动,club,0.874371,0.748742
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,4,程序设计竞赛训练营,innovation,0.858538,0.717076
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,5,校园志愿者招募 — 社区服务日,volunteer,0.861208,0.722415
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,6,校园音乐节 — 夏日之声,arts,0.875257,0.750513
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,7,三人篮球校园联赛,sports,0.885755,0.771510
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,8,量子计算与量子物理入门讲座,academic,0.855027,0.710054
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,9,烘焙社 — 周末手工饼干工作坊,club,0.863770,0.727540
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,10,校际辩论邀请赛选拔,academic,0.869238,0.738477
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,11,大学生创业路演夜,innovation,0.855711,0.711423
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,12,心理健康工作坊 — 压力与放松,club,0.861873,0.723745
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,13,书法社团钢笔字入门课,arts,0.871264,0.742528
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,14,机器人兴趣小组调试日,innovation,0.856685,0.713371
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,15,英语角 — Movie Night 观影畅谈,club,0.865445,0.730891
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,16,校园趣味马拉松 5 公里,sports,0.888888,0.777777
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,17,桌游社周末解压局,club,0.887154,0.774307
exact_羽毛球,羽毛球,完全匹配：字面命中体育活动,18,有机化学实验室开放日,academic,0.863880,0.727761
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,1,AI 与大模型技术前沿讲座,academic,0.899373,0.798747
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,2,校园羽毛球友谊赛,sports,0.865750,0.731500
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,3,摄影社户外采风活动,club,0.875187,0.750375
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,4,程序设计竞赛训练营,innovation,0.886664,0.773327
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,5,校园志愿者招募 — 社区服务日,volunteer,0.861471,0.722942
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,6,校园音乐节 — 夏日之声,arts,0.869267,0.738534
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,7,三人篮球校园联赛,sports,0.873116,0.746231
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,8,量子计算与量子物理入门讲座,academic,0.961729,0.923458
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,9,烘焙社 — 周末手工饼干工作坊,club,0.861563,0.723127
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,10,校际辩论邀请赛选拔,academic,0.880885,0.761770
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,11,大学生创业路演夜,innovation,0.876599,0.753199
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,12,心理健康工作坊 — 压力与放松,club,0.887684,0.775367
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,13,书法社团钢笔字入门课,arts,0.859834,0.719667
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,14,机器人兴趣小组调试日,innovation,0.888058,0.776117
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,15,英语角 — Movie Night 观影畅谈,club,0.865053,0.730106
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,16,校园趣味马拉松 5 公里,sports,0.876231,0.752463
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,17,桌游社周末解压局,club,0.862543,0.725087
exact_量子物理,量子物理,完全匹配：字面命中学术讲座,18,有机化学实验室开放日,academic,0.888810,0.777621
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,1,AI 与大模型技术前沿讲座,academic,0.864272,0.728543
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,2,校园羽毛球友谊赛,sports,0.936759,0.873518
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,3,摄影社户外采风活动,club,0.881006,0.762012
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,4,程序设计竞赛训练营,innovation,0.872722,0.745443
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,5,校园志愿者招募 — 社区服务日,volunteer,0.871401,0.742802
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,6,校园音乐节 — 夏日之声,arts,0.888490,0.776980
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,7,三人篮球校园联赛,sports,0.909025,0.818049
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,8,量子计算与量子物理入门讲座,academic,0.869660,0.739319
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,9,烘焙社 — 周末手工饼干工作坊,club,0.867434,0.734869
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,10,校际辩论邀请赛选拔,academic,0.890711,0.781423
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,11,大学生创业路演夜,innovation,0.859496,0.718993
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,12,心理健康工作坊 — 压力与放松,club,0.863291,0.726583
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,13,书法社团钢笔字入门课,arts,0.866982,0.733964
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,14,机器人兴趣小组调试日,innovation,0.865652,0.731305
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,15,英语角 — Movie Night 观影畅谈,club,0.864619,0.729237
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,16,校园趣味马拉松 5 公里,sports,0.903867,0.807733
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,17,桌游社周末解压局,club,0.892804,0.785609
synonym_球类运动,球类运动友谊赛,近义词：无「羽毛球」字面但同类运动,18,有机化学实验室开放日,academic,0.865921,0.731841
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,1,AI 与大模型技术前沿讲座,academic,0.864725,0.729451
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,2,校园羽毛球友谊赛,sports,0.849999,0.699999
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,3,摄影社户外采风活动,club,0.865810,0.731621
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,4,程序设计竞赛训练营,innovation,0.870412,0.740824
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,5,校园志愿者招募 — 社区服务日,volunteer,0.850401,0.700803
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,6,校园音乐节 — 夏日之声,arts,0.862948,0.725895
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,7,三人篮球校园联赛,sports,0.848124,0.696247
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,8,量子计算与量子物理入门讲座,academic,0.848124,0.696249
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,9,烘焙社 — 周末手工饼干工作坊,club,0.937033,0.874067
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,10,校际辩论邀请赛选拔,academic,0.839190,0.678379
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,11,大学生创业路演夜,innovation,0.873544,0.747089
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,12,心理健康工作坊 — 压力与放松,club,0.872123,0.744246
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,13,书法社团钢笔字入门课,arts,0.862548,0.725096
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,14,机器人兴趣小组调试日,innovation,0.879925,0.759850
synonym_手工甜点,手工甜点烘焙,近义词：指向烘焙工作坊,15,英语角 — Movie Night 观影畅谈,club,0.854259,0.708519
